ELECTIVE TESTING 1, AA0001,,3
ELECTIVE TESTING, AA0002,MBA,3
SDN, AA0005,MCA,4
Data Structures Design, AD3251,AIDS,2
Data Structures Design Laboratory, AD3271,AIDS,2
DATASCIENCE AND ANALYTICS LAB, AD3411,AIDS,4
MACHINE LEARNING LAB, AD3461,AIDS,4
FUNDAMENTAL OF DATASCIENCE AND ANALYTICS, AD3491,AIDS,4
Engineering Geology, AG3601,CIVIL,6
IT in Agricultural System, AI3021,CSE,7
IT in Agricultural System, AI3021,IT,7
HYDROLOGY AND WATER RESOURCES ENGINEERING, AI3404,CIVIL,7
MACHINE LEARNING, AL3451,AIDS,4
OPERATING SYSTEM, AL3452,AIDS,4
Security Analysis and Portfolio Management, BA4001,MBA,3
Financial Markets, BA4002,MBA,3
Banking and financial service, BA4003,MBA,3
Consumer Behavior, BA4009,MBA,3
Services Marketing, BA4011,MBA,3
Product and Brand Management, BA4013,MBA,3
Strategic Human Resource Management, BA4015,MBA,3
Industrial relations and labour legislations, BA4016,MBA,3
Negotiation and conflict management, BA4018,MBA,3
Entrepreneurship Development, BA4032,MBA,1
Statistics for Management, BA4101,MBA,1
Management Concepts and Organizational Behavior, BA4102,MBA,1
Managerial Economics, BA4103,MBA,1
Accounting for Decision Making, BA4104,MBA,1
Legal Aspects of Business, BA4105,MBA,1
Information Management, BA4106,MBA,1
Indian Ethics, BA4111,MBA,1
Business Communication, BA4112,MBA,1
Quantitative Techniques for Decision Making, BA4201,MBA,2
Financial Management, BA4202,MBA,2
Human Resource Management, BA4203,MBA,2
Operations Management, BA4204,MBA,2
Business Research Methods, BA4205,MBA,2
Business Analytics, BA4206,MBA,2
Marketing Management, BA4207,MBA,2
Business ethics (Seminar, BA4211,MBA,2
Data analysis and Business Modelling (Laboratory, BA4212,MBA,2
Strategic Management, BA4301,MBA,3
International Business, BA4302,MBA,3
Creativity and Innovation Laboratory, BA4311,MBA,3
Project Work, BA4411,MBA,3
Project Work, BA4411,MBA,4
Basic Electrical and Electronics Engineering, BE3251,AIDS,2
Basic Electrical and Electronics Engineering, BE3251,CSE,2
Basic Electrical and Electronics Engineering, BE3251,IT,2
Basic Electrical and Electronics Engineering, BE3251,MECH,2
Basic Electrical and Instrumentation Engineering, BE3252,CIVIL,2
ELECTRICAL AND INSTRUMENTATION ENGINEERING, BE3254,ECE,2
Basic Civil and Mechanical Engineering, BE3255,EEE,2
Basic Electrical and Electronics Engineering Laboratory, BE3271,MECH,2
Basic Electrical and Instrumentation Laboratory, BE3272,CIVIL,2
PHYSICS AND CHEMISTRY LABORATORY, BS3171,CIVIL,1
Physics and Chemistry Laboratory, BS3171,CSE,1
PHYSICS AND CHEMISTRY LABORATORY, BS3171,ECE,1
Physics and Chemistry Laboratory, BS3171,IT,1
Data Structures and Algorithms, BX4001,MCA,1
Problem Solving and Programming in C, BX4002,MCA,1
Introduction to Computer Organization and Operating Systems, BX4003,MCA,2
Database Management Systems, BX4004,MCA,2
Mathematical Foundations of Computer Science, BX4005,MCA,3
Basics of Computer Networks, BX4006,MCA,3
Cryptography and Cyber Security, CB3491,CSE,5
Industrial Waste Water Management, CCE334,CIVIL,6
AIR AND NOISE POLLUTION CONTROL ENGINEERING, CCE3351,CIVIL,5
Big Data Analytics, CCS334,CSE,5
Big Data Analytics, CCS334,CSE,6
Cloud Computing, CCS335,CSE,5
Cloud Computing, CCS335,IT,5
Cloud Services Management, CCS336,IT,6
COMPUTER VISION, CCS338,ECE,6
Data Warehousing, CCS341,CSE,6
DevOps, CCS342,IT,6
NETWORK SECURITY, CCS354,AIDS,6
Network Security, CCS354,CSE,6
NEURAL NETWORK AND DEEPLEARNING, CCS355,AIDS,6
Object Oriented Software Engineering, CCS356,CSE,6
Object Oriented Software Engineering, CCS356,IT,6
Principles of Programming Language, CCS358,IT,5
Software Testing And Automation, CCS366,CSE,5
SOFTWARE TESTING AND AUTOMATION, CCS366,AIDS,6
Software Testing And Automation, CCS366,IT,6
UI and UX Design, CCS370,CSE,6
UI and UX Design, CCS370,IT,6
Virtualization, CCS372,AIDS,6
Virtualization, CCS372,CSE,6
Web Application Security, CCS374,IT,6
Web Technologies, CCS375,CSE,5
Business Analytics, CCW341,CSE,6
Data Structures and Algorithm Laboratory, CD3281,IT,3
Data Structures and Algorithm, CD3291,IT,3
PREFABRICATED STRUCTURES, CE3003,CIVIL,5
Rehabilitation & Heritage Restoration, CE3005,CIVIL,6
Advanced Construction Techniques, CE3013,CIVIL,6
AIRPORTS AND HARBORS, CE3025,CIVIL,5
FLUID MECHANICS, CE3301,CIVIL,3
CONSTRUCTION MATERIALS AND TECHNOLOGY, CE3302,CIVIL,3
WATER SUPPLY AND WASTE WATER ENGINEERING, CE3303,CIVIL,3
WATER AND WASTE WATER ANALYSIS LABORATORY, CE3311,CIVIL,3
SURVEYING AND LEVELLING, CE3351,CIVIL,3
SURVEYING AND LEVELING LABORATORY, CE3361,CIVIL,3
Fluid Mechanics and Machinery, CE3391,MECH,3
Applied Hydraulics Engineering, CE3401,CIVIL,4
Strength of Materials, CE3402,CIVIL,4
Concrete Technology, CE3403,CIVIL,4
Soil Mechanics, CE3404,CIVIL,4
Highway And Railway Engineering, CE3405,CIVIL,4
Hydraulic Engineering Laboratory, CE3411,CIVIL,4
Material Testing Laboratory, CE3412,CIVIL,4
Soil Mechanics Laboratory, CE3413,CIVIL,4
Strength of Materials and Fluid Machinery Laboratory, CE3481,MECH,4
Strength of Materials, CE3491,MECH,4
DESIGN OF REINFORCED CEMENT CONCRETE ELEMENTS, CE3501,CIVIL,5
FOUNDATION ENGINEERING, CE3503,CIVIL,5
HIGHWAY ENGINEERING LABORATORY, CE3511,CIVIL,5
Design of Steel Structural Elements, CE3601,CIVIL,6
Structural Analysis-II, CE3602,CIVIL,6
Building Drawing And Detailing Laboratory, CE3611,CIVIL,6
PROJECT WORK/ INTERNSHIP TRAINING, CE3811,CIVIL,8
4G/5G COMMUNICATION NETWORKS, CEC331,ECE,6
EMI/EMC PRE COMPLIANCE TESTING, CEC338,ECE,6
